"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RKOHIMJ259NRF","B01GW3H3U8","","Reviewed in the United States on August 2, 2021","August 2, 2021",1627844400,"Peter Hurst",4,"Buy it used! save $30!","Buy it used looks and acts the same and a brand new one. Just Not returnable. Still great quality!",true
"R4WNW6P7P92NA","B01GW3H3U8","","Reviewed in the United States on July 20, 2021","July 20, 2021",1626721200,"Amber gregg",1,"Broke","Ive had this with minimal use for 4 months and it barely works. The headset jack NEVER worked and now it wont respond to xbox. Terrible product",true
"R1O4TRGEBIFZGE","B01GW3H3U8","","Reviewed in the United States on July 10, 2021","July 10, 2021",1625857200,"Neepa Patel",2,"Drift issue","After about 8 months of operation, it is now suffering from a reported drift issue with thumbsticks.Issue has been socialized on internet. Unfortunately Microsoft only offers 90 day warranty vs 1 year. Most people seem to report issue appears after 90 days but within year.",true
"R4GN8J4NQ3222","B01GW3H3U8","","Reviewed in the United States on July 7, 2021","July 7, 2021",1625598000,"Rebecca Lloyd",1,"My controller on Xbox one s is not working","Something is wrong with my new controller it's not working 😔 some odd reason on my Xbox one S controller wireless that I just bought it's really wired .. do I need to get a separate Xbox one s for this controller .. .. I was getting a new one so my roommate can play with me in a zombie game .. the new controller keeps blinking ..",true
"R1LAC9C1R9LZOT","B01GW3H3U8","","Reviewed in the United States on June 30, 2021","June 30, 2021",1624993200,"yarzar07",5,"Great controller. Fair price. Looks amazing.","No other better choice as an extra matching controller for the xbox one s or x. Works as expected and looks amazing. For an official controller to use AA batteries makes it even better since it will outlast the ones with built-in batteries when the spare parts start to become scarce. Packaged perfectly, works as expected, all good.",true
"R3KY9QQONV4N3J","B01GW3H3U8","","Reviewed in the United States on June 23, 2021","June 23, 2021",1624388400,"Sam",5,"They were willing to fix the issue","The controller was in usable too much drift but they were willing to make it right. So thank you for caring...",true
"R2B57HKYJX5NVB","B01GW3H3U8","","Reviewed in the United States on June 20, 2021","June 20, 2021",1624129200,"Nathan Conway",1,"Came with a Broken Button","I ordered this and it came with a broken “a” button so there was no way for me to use it. All of the other buttons worked along with the headphone jack, but without the “a” button there is no way I could play any games since that’s what you use to select things.",true
"R2UCW5CDURBM0O","B01GW3H3U8","","Reviewed in the United States on June 11, 2021","June 11, 2021",1623351600,"Colton Cronkhite",3,"Freezing","The controller sometimes freezes on a single button and I can’t control anything but it’s like that but button is being rapidly pressed till I turn it off then back on",true
"R1TMNHSJQ9O1O5","B01GW3H3U8","","Reviewed in the United States on May 23, 2021","May 23, 2021",1621710000,"Alex Viteri",5,"Excellent","Excellent quality",true
"R2W3E4O6V23GZE","B01GW3H3U8","","Reviewed in the United States on May 21, 2021","May 21, 2021",1621537200,"Eugene J.",5,"Worked","Worked like it was supposed to.",true
