"review.id","review.review_data","review.rating","review.title","review.review","review.verified_purchase","product.position.page","product.position.position","product.position.global_position","product.asin","product.keyword","product.price.discounted","product.price.current_price","product.price.currency","product.price.before_price","product.price.savings_amount","product.price.savings_percent","product.reviews.total_reviews","product.reviews.rating","product.url","product.score","product.sponsored","product.amazonChoice","product.bestSeller","product.amazonPrime","product.title","product.thumbnail"
"R2EMVIDDLE9FO5","Reviewed in the United States on October 21, 2021",5,"awesome","perfect",true,1,1,"11","B072M5FFZ5","razer pro glide",false,19.99,"USD",0,0,0,10334,4.7,"https://www.amazon.com/dp/B072M5FFZ5","48569.80",false,false,false,false,"ProGlide Shield Men’s Razor Handle + 4 Blade Refills","https://m.media-amazon.com/images/I/81XV8kStuJL._AC_UL320_.jpg"
"R27V9JIGWLLNMQ","Reviewed in the United States on October 21, 2021",5,"Good value for the money and fast delivery","Good value for$ and fast delivery",true,1,1,"11","B072M5FFZ5","razer pro glide",false,19.99,"USD",0,0,0,10334,4.7,"https://www.amazon.com/dp/B072M5FFZ5","48569.80",false,false,false,false,"ProGlide Shield Men’s Razor Handle + 4 Blade Refills","https://m.media-amazon.com/images/I/81XV8kStuJL._AC_UL320_.jpg"
"R24MHX81Z3362S","Reviewed in the United States on October 21, 2021",1,"Worst Razor I Have Ever Owned","After finally running out of my DSC cache of razors I decided to try something new.Boy was I disappointed. This razor is awful. It clogs super easy and the yellow strip around the blade starts disintegrating after one use. I used to make a DSC razor last for months. I can’t use these for more than 3 or 4 shaves. Worthless.",true,1,1,"11","B072M5FFZ5","razer pro glide",false,19.99,"USD",0,0,0,10334,4.7,"https://www.amazon.com/dp/B072M5FFZ5","48569.80",false,false,false,false,"ProGlide Shield Men’s Razor Handle + 4 Blade Refills","https://m.media-amazon.com/images/I/81XV8kStuJL._AC_UL320_.jpg"
"R18FYK3YRXLN1O","Reviewed in the United States on October 21, 2021",5,"So far satisfied.","On first cartridge. So far great shaves. Sharp blade. Fits fusion power razor fine. Will see if its worth price.",true,1,1,"11","B072M5FFZ5","razer pro glide",false,19.99,"USD",0,0,0,10334,4.7,"https://www.amazon.com/dp/B072M5FFZ5","48569.80",false,false,false,false,"ProGlide Shield Men’s Razor Handle + 4 Blade Refills","https://m.media-amazon.com/images/I/81XV8kStuJL._AC_UL320_.jpg"
"RW6LD4Y01YBBO","Reviewed in the United States on October 20, 2021",5,"Good product!","High quality product!",true,1,1,"11","B072M5FFZ5","razer pro glide",false,19.99,"USD",0,0,0,10334,4.7,"https://www.amazon.com/dp/B072M5FFZ5","48569.80",false,false,false,false,"ProGlide Shield Men’s Razor Handle + 4 Blade Refills","https://m.media-amazon.com/images/I/81XV8kStuJL._AC_UL320_.jpg"
"R1Y2ZVL4IVS3ZO","Reviewed in the United States on October 20, 2021",5,"Straight to the point","amazing overall extremely slick and clean, the reserve blades are a nice thing to have, 10/10 overall☻︎",true,1,1,"11","B072M5FFZ5","razer pro glide",false,19.99,"USD",0,0,0,10334,4.7,"https://www.amazon.com/dp/B072M5FFZ5","48569.80",false,false,false,false,"ProGlide Shield Men’s Razor Handle + 4 Blade Refills","https://m.media-amazon.com/images/I/81XV8kStuJL._AC_UL320_.jpg"
"R37QJC0NU5ABWJ","Reviewed in the United States on October 19, 2021",3,"I expected more from a name brand, you are paying for the name....My opinion.","I bought these to simply ''trim around my beard'' so only requiring to clean half my face. Sadly, after the first shave, which was fine, it was down hill from there. If I weren't retired and still wore suits daily and the occasional tux(?) I would never use this razor if I was counting on a clean appearance for the entire day.",true,1,1,"11","B072M5FFZ5","razer pro glide",false,19.99,"USD",0,0,0,10334,4.7,"https://www.amazon.com/dp/B072M5FFZ5","48569.80",false,false,false,false,"ProGlide Shield Men’s Razor Handle + 4 Blade Refills","https://m.media-amazon.com/images/I/81XV8kStuJL._AC_UL320_.jpg"
"R3BIC8VNMY34U3","Reviewed in the United States on October 14, 2021",5,"GREAT RAZORS","SMOOTH, COMFORTABLE SHAVE EVERYTIME",true,1,1,"11","B072M5FFZ5","razer pro glide",false,19.99,"USD",0,0,0,10334,4.7,"https://www.amazon.com/dp/B072M5FFZ5","48569.80",false,false,false,false,"ProGlide Shield Men’s Razor Handle + 4 Blade Refills","https://m.media-amazon.com/images/I/81XV8kStuJL._AC_UL320_.jpg"
"R3B2WELA4PT27C","Reviewed in the United States on October 12, 2021",5,"A great shave","Very pleased",true,1,1,"11","B072M5FFZ5","razer pro glide",false,19.99,"USD",0,0,0,10334,4.7,"https://www.amazon.com/dp/B072M5FFZ5","48569.80",false,false,false,false,"ProGlide Shield Men’s Razor Handle + 4 Blade Refills","https://m.media-amazon.com/images/I/81XV8kStuJL._AC_UL320_.jpg"
"R1QWHZ1FX39J2Q","Reviewed in the United States on October 10, 2021",5,"Who’d of known?","I have been using the 3-blade razors for years and tried a friend’s 5-blade. OH MY! Bought some for myself. These blades are so good that I actually shave without any shaving cream. Just on my bare skin. They do not nick or rough up my skin - just smooth shaving. LOVE THEM.",true,1,1,"11","B072M5FFZ5","razer pro glide",false,19.99,"USD",0,0,0,10334,4.7,"https://www.amazon.com/dp/B072M5FFZ5","48569.80",false,false,false,false,"ProGlide Shield Men’s Razor Handle + 4 Blade Refills","https://m.media-amazon.com/images/I/81XV8kStuJL._AC_UL320_.jpg"
