"review.id","review.review_data","review.rating","review.title","review.review","review.verified_purchase","product.position.page","product.position.position","product.position.global_position","product.asin","product.keyword","product.price.discounted","product.price.current_price","product.price.currency","product.price.before_price","product.price.savings_amount","product.price.savings_percent","product.reviews.total_reviews","product.reviews.rating","product.url","product.score","product.sponsored","product.amazonChoice","product.bestSeller","product.amazonPrime","product.title","product.thumbnail"
"cr-translate--27682735",,,"","",false,1,1,"10","B071LCFLH6","nintendo switch v1",false,0,"USD",0,0,0,494,4.7,"https://www.amazon.com/dp/B071LCFLH6","2321.80",false,false,false,false,"Nintendo Switch Neon Blue and Neon Red Joy-Con","https://m.media-amazon.com/images/I/61rlb-5vPJL._AC_UY218_.jpg"
"RMOVMC73JFTH","Reviewed in the United States on October 22, 2021",5,"Muy buena inversión","me parece una muy buena inversión",true,1,1,"10","B071LCFLH6","nintendo switch v1",false,0,"USD",0,0,0,494,4.7,"https://www.amazon.com/dp/B071LCFLH6","2321.80",false,false,false,false,"Nintendo Switch Neon Blue and Neon Red Joy-Con","https://m.media-amazon.com/images/I/61rlb-5vPJL._AC_UY218_.jpg"
"R1VIC2MOSVCPJT","Reviewed in the United States on September 28, 2021",5,"Él regalo fue para mi nieto.","Me agrado. Gracias",true,1,1,"10","B071LCFLH6","nintendo switch v1",false,0,"USD",0,0,0,494,4.7,"https://www.amazon.com/dp/B071LCFLH6","2321.80",false,false,false,false,"Nintendo Switch Neon Blue and Neon Red Joy-Con","https://m.media-amazon.com/images/I/61rlb-5vPJL._AC_UY218_.jpg"
"RXGO7QRZXELT3","Reviewed in the United States on June 16, 2021",5,"Great!","Great!",true,1,1,"10","B071LCFLH6","nintendo switch v1",false,0,"USD",0,0,0,494,4.7,"https://www.amazon.com/dp/B071LCFLH6","2321.80",false,false,false,false,"Nintendo Switch Neon Blue and Neon Red Joy-Con","https://m.media-amazon.com/images/I/61rlb-5vPJL._AC_UY218_.jpg"
"R3JVJAK3QA7FE","Reviewed in the United States on June 7, 2021",1,"They need to fix the problem.","Doesn't stay connected to the wifi.",true,1,1,"10","B071LCFLH6","nintendo switch v1",false,0,"USD",0,0,0,494,4.7,"https://www.amazon.com/dp/B071LCFLH6","2321.80",false,false,false,false,"Nintendo Switch Neon Blue and Neon Red Joy-Con","https://m.media-amazon.com/images/I/61rlb-5vPJL._AC_UY218_.jpg"
"R22IKVOFXKUELQ","Reviewed in the United States on June 4, 2021",5,"Perfect gifts","When you have a 6 and 8 year old who are like twins and want the same of everything you make sure to buy doubles of everything.This was one of those purchases.",true,1,1,"10","B071LCFLH6","nintendo switch v1",false,0,"USD",0,0,0,494,4.7,"https://www.amazon.com/dp/B071LCFLH6","2321.80",false,false,false,false,"Nintendo Switch Neon Blue and Neon Red Joy-Con","https://m.media-amazon.com/images/I/61rlb-5vPJL._AC_UY218_.jpg"
"R3PCQQ7MJUCWU9","Reviewed in the United States on May 15, 2021",5,"Awesome worth the money !","Worth the buy everything came packaged and I works very well when I first got it I played fornite all day !",true,1,1,"10","B071LCFLH6","nintendo switch v1",false,0,"USD",0,0,0,494,4.7,"https://www.amazon.com/dp/B071LCFLH6","2321.80",false,false,false,false,"Nintendo Switch Neon Blue and Neon Red Joy-Con","https://m.media-amazon.com/images/I/61rlb-5vPJL._AC_UY218_.jpg"
"R13L3RGFYF98JY","Reviewed in the United States on May 9, 2021",4,"Good","Good",true,1,1,"10","B071LCFLH6","nintendo switch v1",false,0,"USD",0,0,0,494,4.7,"https://www.amazon.com/dp/B071LCFLH6","2321.80",false,false,false,false,"Nintendo Switch Neon Blue and Neon Red Joy-Con","https://m.media-amazon.com/images/I/61rlb-5vPJL._AC_UY218_.jpg"
"RWO6P88DDF607","Reviewed in the United States on May 7, 2021",5,"The Nintendo Switch is amazing","Just got one for my birthday and I love it. Worth the money. I never had so much fun on the go and my family and friends can join on the to.",true,1,1,"10","B071LCFLH6","nintendo switch v1",false,0,"USD",0,0,0,494,4.7,"https://www.amazon.com/dp/B071LCFLH6","2321.80",false,false,false,false,"Nintendo Switch Neon Blue and Neon Red Joy-Con","https://m.media-amazon.com/images/I/61rlb-5vPJL._AC_UY218_.jpg"
"R16FL4C9LMWESL","Reviewed in the United States on April 18, 2021",5,"excelente","Excelente",true,1,1,"10","B071LCFLH6","nintendo switch v1",false,0,"USD",0,0,0,494,4.7,"https://www.amazon.com/dp/B071LCFLH6","2321.80",false,false,false,false,"Nintendo Switch Neon Blue and Neon Red Joy-Con","https://m.media-amazon.com/images/I/61rlb-5vPJL._AC_UY218_.jpg"
