"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,2,2,"B08GGDT47N",false,604.98,"USD",0,0,0,1457,4.7,"https://www.amazon.com/dp/B08GGDT47N","6847.90",false,false,false,false,"Xbox One S","https://m.media-amazon.com/images/I/61p7CnmDNlL._AC_UY218_.jpg"
1,3,3,"B08G9J44ZN",false,0,"USD",0,0,0,7354,4.7,"https://www.amazon.com/dp/B08G9J44ZN","34563.80",false,false,false,false,"Xbox Series S","https://m.media-amazon.com/images/I/71NBQ2a52CL._AC_UY218_.jpg"
1,4,4,"B074WPGYRF",false,730,"USD",0,0,0,5332,4.6,"https://www.amazon.com/dp/B074WPGYRF","24527.20",false,false,false,false,"Microsoft Xbox One X 1Tb Console With Wireless Controller: Xbox One X Enhanced, Hdr, Native 4K, Ultra Hd (Discontinued)","https://m.media-amazon.com/images/I/61ux1cU49XL._AC_UY218_.jpg"
1,5,5,"B07WDGB9P5",false,496.95,"USD",0,0,0,3272,4.4,"https://www.amazon.com/dp/B07WDGB9P5","14396.80",false,false,true,false,"Microsoft Xbox One X 1TB Console with Wireless Controller: Xbox One X Enhanced, HDR, Native 4K, Ultra HD (Renewed) (2017 M...","https://m.media-amazon.com/images/I/61H3Od2C64L._AC_UY218_.jpg"
1,6,6,"B096NCZ9G2",true,39.88,"USD",59.99,20.11,33.52,385,4.6,"https://www.amazon.com/dp/B096NCZ9G2","1771.00",false,false,true,true,"Madden NFL 22 - Xbox One","https://m.media-amazon.com/images/I/61omsKhOlPS._AC_UY218_.jpg"
1,7,7,"B08ZNQN1FP",true,59,"USD",64.99,5.99,9.22,50316,4.7,"https://www.amazon.com/dp/B08ZNQN1FP","236485.20",false,false,false,false,"Xbox Wireless Controller – Electric Volt for Xbox Series X|S, Xbox One, and Windows 10 Devices","https://m.media-amazon.com/images/I/61JNP8M84fS._AC_UY218_.jpg"
1,8,8,"B01BV13S7S",true,107.69,"USD",149.99,42.3,28.2,48696,4.8,"https://www.amazon.com/dp/B01BV13S7S","233740.80",false,false,false,true,"Seagate (STEA4000402) Game Drive for Xbox 4TB External Hard Drive Portable HDD – Designed for Xbox One ,Green","https://m.media-amazon.com/images/I/81dGAGz+BQL._AC_UY218_.jpg"
1,9,9,"B098Y92BLD",true,39.99,"USD",59.99,20,33.34,115,4.7,"https://www.amazon.com/dp/B098Y92BLD","540.50",false,false,false,true,"NBA 2K22 - Xbox One","https://m.media-amazon.com/images/I/81-UyihCc8L._AC_UY218_.jpg"
1,10,10,"B08X2MVWRF",false,139,"USD",0,0,0,85,4.6,"https://www.amazon.com/dp/B08X2MVWRF","391.00",false,false,false,false,"Sponsored Ad - YOWU RGB Cat Ear Headphone 3G Wireless Bluetooth 5.0 Foldable Gaming Headset with 7.1 Surround Sound, Buil...","https://m.media-amazon.com/images/I/61b2+iBigFL._AC_UY218_.jpg"
1,11,11,"B084ZTL8GP",true,434.99,"USD",599,164.01,27.38,112,4.2,"https://www.amazon.com/dp/B084ZTL8GP","470.40",false,false,false,false,"Xbox One S 1TB All-Digital Console with Xbox One Wireless Controller (Renewed)","https://m.media-amazon.com/images/I/71UAHx-vAVL._AC_UY218_.jpg"
