"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,1,1,"B08GGDT47N",false,0,"USD",0,0,0,1456,4.7,"https://www.amazon.com/dp/B08GGDT47N","6843.20",false,false,false,false,"Xbox One S","https://m.media-amazon.com/images/I/61p7CnmDNlL._AC_UY218_.jpg"
1,2,2,"B08G9J44ZN",false,0,"USD",0,0,0,7337,4.7,"https://www.amazon.com/dp/B08G9J44ZN","34483.90",false,false,false,false,"Xbox Series S","https://m.media-amazon.com/images/I/71NBQ2a52CL._AC_UY218_.jpg"
1,3,3,"B07WDGB9P5",false,496.95,"USD",0,0,0,3270,4.4,"https://www.amazon.com/dp/B07WDGB9P5","14388.00",false,false,true,false,"Microsoft Xbox One X 1TB Console with Wireless Controller: Xbox One X Enhanced, HDR, Native 4K, Ultra HD (Renewed) (2017 M...","https://m.media-amazon.com/images/I/61H3Od2C64L._AC_UY218_.jpg"
1,4,4,"B084ZTL8GP",true,439.99,"USD",630,190.01,30.16,112,4.2,"https://www.amazon.com/dp/B084ZTL8GP","470.40",false,false,false,false,"Xbox One S 1TB All-Digital Console with Xbox One Wireless Controller (Renewed)","https://m.media-amazon.com/images/I/71UAHx-vAVL._AC_UY218_.jpg"
1,5,5,"B00U1WN17G",false,399.99,"USD",0,0,0,814,4.4,"https://www.amazon.com/dp/B00U1WN17G","3581.60",false,false,false,false,"Xbox One 500GB Console (Renewed)","https://m.media-amazon.com/images/I/51NzfmMfprL._AC_UY218_.jpg"
1,6,6,"B074WPGYRF",false,719.5,"USD",0,0,0,5330,4.6,"https://www.amazon.com/dp/B074WPGYRF","24518.00",false,false,false,false,"Microsoft Xbox One X 1Tb Console With Wireless Controller: Xbox One X Enhanced, Hdr, Native 4K, Ultra Hd (Discontinued)","https://m.media-amazon.com/images/I/61ux1cU49XL._AC_UY218_.jpg"
1,7,7,"B01L1Y0RZQ",false,0,"USD",0,0,0,1380,4.7,"https://www.amazon.com/dp/B01L1Y0RZQ","6486.00",false,false,false,false,"Xbox One S 500GB Console - Minecraft Bundle [Discontinued]","https://m.media-amazon.com/images/I/71c7C-q7K6L._AC_UY218_.jpg"
1,8,8,"B07W8Y2Z11",false,389,"USD",0,0,0,349,4.5,"https://www.amazon.com/dp/B07W8Y2Z11","1570.50",false,false,false,false,"Microsoft - Xbox One S 1TB All-Digital Edition Console - Controller and Game Codes Not Included (Renewed)","https://m.media-amazon.com/images/I/51NM04UUQ9L._AC_UY218_.jpg"
1,10,10,"B08KYK5K6C",false,475,"USD",0,0,0,67,4.4,"https://www.amazon.com/dp/B08KYK5K6C","294.80",false,false,false,false,"Xbox One S 1TB Console [Previous Generation] (Renewed)","https://m.media-amazon.com/images/I/71XhWlQ+sxL._AC_UY218_.jpg"
1,11,11,"B07YD67145",false,619.99,"USD",0,0,0,2195,4.8,"https://www.amazon.com/dp/B07YD67145","10536.00",false,false,false,false,"Xbox One S 1TB Console - Star Wars Jedi: Fallen Order Bundle [DISCONTINUED]","https://m.media-amazon.com/images/I/61P8eqCIJ-L._AC_UY218_.jpg"
1,12,12,"B08FCVG5DX",true,19.99,"USD",22.99,3,13.05,2511,4.4,"https://www.amazon.com/dp/B08FCVG5DX","11048.40",false,false,false,true,"PDP Gaming Remote Control: Xbox Series X|S, Xbox One, Xbox","https://m.media-amazon.com/images/I/61F5omx9bTL._AC_UY218_.jpg"
1,13,13,"B096NCZ9G2",true,39.88,"USD",59.99,20.11,33.52,378,4.6,"https://www.amazon.com/dp/B096NCZ9G2","1738.80",false,false,true,true,"Madden NFL 22 - Xbox One","https://m.media-amazon.com/images/I/61omsKhOlPS._AC_UY218_.jpg"
1,15,15,"B08ZNQN1FP",true,59,"USD",64.99,5.99,9.22,50236,4.7,"https://www.amazon.com/dp/B08ZNQN1FP","236109.20",false,false,false,false,"Xbox Wireless Controller – Electric Volt for Xbox Series X|S, Xbox One, and Windows 10 Devices","https://m.media-amazon.com/images/I/61JNP8M84fS._AC_UY218_.jpg"
1,16,16,"B01BV13S7S",true,109.99,"USD",149.99,40,26.67,48639,4.8,"https://www.amazon.com/dp/B01BV13S7S","233467.20",false,false,false,true,"Seagate (STEA4000402) Game Drive for Xbox 4TB External Hard Drive Portable HDD – Designed for Xbox One ,Green","https://m.media-amazon.com/images/I/81dGAGz+BQL._AC_UY218_.jpg"
1,17,17,"B098Y92BLD",true,39.99,"USD",59.99,20,33.34,112,4.7,"https://www.amazon.com/dp/B098Y92BLD","526.40",false,false,false,true,"NBA 2K22 - Xbox One","https://m.media-amazon.com/images/I/81-UyihCc8L._AC_UY218_.jpg"
1,18,18,"B08WFD42G5",true,88.01,"USD",99.99,11.98,11.98,1886,4.6,"https://www.amazon.com/dp/B08WFD42G5","8675.60",false,false,false,false,"Xbox Wireless Headset for Xbox Series X|S, Xbox One, and Windows 10 Devices","https://m.media-amazon.com/images/I/51ODvrKqxTL._AC_UY218_.jpg"
1,19,19,"B08SC99WD6",true,24.99,"USD",27.98,2.99,10.69,403,4.2,"https://www.amazon.com/dp/B08SC99WD6","1692.60",false,false,false,true,"Sponsored Ad - Controller for Xbox One,Wired Controller for Xbox with Headphone Jack for Xbox Series S Xbox Series X Xbox ...","https://m.media-amazon.com/images/I/71ufiGZpAJS._AC_UY218_.jpg"
1,20,20,"B08Z3F1ZPW",false,19.99,"USD",0,0,0,2,5,"https://www.amazon.com/dp/B08Z3F1ZPW","10.00",false,false,false,true,"Sponsored Ad - SUPSOO Gaming Headset Headphones for PS4 Xbox One Controller, Over Ear Headphones Noise Cancelling Mic, Adj...","https://m.media-amazon.com/images/I/616lWGu1x0S._AC_UY218_.jpg"
