"review.id","review.review_data","review.rating","review.title","review.review","review.verified_purchase","product.position.page","product.position.position","product.position.global_position","product.asin","product.keyword","product.price.discounted","product.price.current_price","product.price.currency","product.price.before_price","product.price.savings_amount","product.price.savings_percent","product.reviews.total_reviews","product.reviews.rating","product.url","product.score","product.sponsored","product.amazonChoice","product.bestSeller","product.amazonPrime","product.title","product.thumbnail"
"R2XE43G4LJHHV5","Reviewed in the United States on October 2, 2021",5,"Best 2k in years","2k is great, but this year they made it even better, especially for next gen. Game play and graphics are improved over last year, and MyTeam and MyCareer are improved with new features and challenges.",true,1,1,"10","B098Y7HQ9T","Xbox Series X",true,49.99,"USD",69.99,20,28.58,26,4.3,"https://www.amazon.com/dp/B098Y7HQ9T","111.80",false,false,false,false,"NBA 2K22 - Xbox Series X","https://m.media-amazon.com/images/I/914vW-47QoS._AC_UY218_.jpg"
"R2L0X3TBOPHNKF","Reviewed in the United States on September 12, 2021",5,"Game is Amazing, but Amazon getting it to you on release day not so much!","Said was going to be here on release day, but didn't finally get here until 2 days later. In the future I will just buy from Gamestop so I can physically pick it up on release day",true,1,1,"10","B098Y7HQ9T","Xbox Series X",true,49.99,"USD",69.99,20,28.58,26,4.3,"https://www.amazon.com/dp/B098Y7HQ9T","111.80",false,false,false,false,"NBA 2K22 - Xbox Series X","https://m.media-amazon.com/images/I/914vW-47QoS._AC_UY218_.jpg"
"R14SGUZCUIYAYK","Reviewed in the United States on October 22, 2021",5,"A must if you own more then one Xbox Series Devices","I own a Series X and a Series S, very handy to load games from one room to other without moving a Xbox.Simple plug and play",true,1,2,"11","B08K3S6WJM","Xbox Series X",false,219.99,"USD",0,0,0,48834,4.8,"https://www.amazon.com/dp/B08K3S6WJM","234403.20",false,false,false,false,"Seagate Storage Expansion Card for Xbox Series X|S 1TB Solid State Drive - NVMe Expansion SSD for Xbox Series X|S (STJR100...","https://m.media-amazon.com/images/I/61MGrHUMWzL._AC_UY218_.jpg"
"RP5HT9B6XEFIT","Reviewed in the United States on October 22, 2021",4,"Game Memory","Works as intended. Should have been a 2T for the price I’m paying.",true,1,2,"11","B08K3S6WJM","Xbox Series X",false,219.99,"USD",0,0,0,48834,4.8,"https://www.amazon.com/dp/B08K3S6WJM","234403.20",false,false,false,false,"Seagate Storage Expansion Card for Xbox Series X|S 1TB Solid State Drive - NVMe Expansion SSD for Xbox Series X|S (STJR100...","https://m.media-amazon.com/images/I/61MGrHUMWzL._AC_UY218_.jpg"
"R28UCTWYPK4N3E","Reviewed in the United States on October 22, 2021",4,"Works but expensive","Works but expensive otherwise would give 5 stars",true,1,2,"11","B08K3S6WJM","Xbox Series X",false,219.99,"USD",0,0,0,48834,4.8,"https://www.amazon.com/dp/B08K3S6WJM","234403.20",false,false,false,false,"Seagate Storage Expansion Card for Xbox Series X|S 1TB Solid State Drive - NVMe Expansion SSD for Xbox Series X|S (STJR100...","https://m.media-amazon.com/images/I/61MGrHUMWzL._AC_UY218_.jpg"
"RCH6HCZPVHCWP","Reviewed in the United States on October 21, 2021",5,"Seagate Game Drive 🔥","It’s fast and works perfect 👍",true,1,2,"11","B08K3S6WJM","Xbox Series X",false,219.99,"USD",0,0,0,48834,4.8,"https://www.amazon.com/dp/B08K3S6WJM","234403.20",false,false,false,false,"Seagate Storage Expansion Card for Xbox Series X|S 1TB Solid State Drive - NVMe Expansion SSD for Xbox Series X|S (STJR100...","https://m.media-amazon.com/images/I/61MGrHUMWzL._AC_UY218_.jpg"
"R2JAFTVC7NIGVE","Reviewed in the United States on October 21, 2021",5,"Useful Tool","I bought this thinking I needed to transfer files from old Xbox One to new Xbox One X but found out all files are uploaded to cloud. I later use this to store games that I normally install/uninstall so I placed a few favorite games I'll replay w/o the hassle of either choice. I was able to store games like Dead or Alive 5 Last Round w/ 507 characters + costumes which on internal hard drive will cause a slow lag so it was store on this external hard drive instead and Dead or Alive 6 w/ 217 characters + costumes. I read reviews on external hard drive with pros and cons so it's no big deal if it messes up later or last a lifetime.",true,1,2,"11","B08K3S6WJM","Xbox Series X",false,219.99,"USD",0,0,0,48834,4.8,"https://www.amazon.com/dp/B08K3S6WJM","234403.20",false,false,false,false,"Seagate Storage Expansion Card for Xbox Series X|S 1TB Solid State Drive - NVMe Expansion SSD for Xbox Series X|S (STJR100...","https://m.media-amazon.com/images/I/61MGrHUMWzL._AC_UY218_.jpg"
"R2E2ZSOK69A0TP","Reviewed in the United States on October 20, 2021",5,"Great product","This is a very solid product! Worth the money. It is state of the art and has its own built in heat sink. That’s amazing. One thing I don’t like is the packaging. It’s just sitting there and it isn’t even locked into place or fastened down. It will just fall right out of the package without warning. Be careful everyone. For such a pricey item, it should at least be in a plastic inset that holds it into place.",true,1,2,"11","B08K3S6WJM","Xbox Series X",false,219.99,"USD",0,0,0,48834,4.8,"https://www.amazon.com/dp/B08K3S6WJM","234403.20",false,false,false,false,"Seagate Storage Expansion Card for Xbox Series X|S 1TB Solid State Drive - NVMe Expansion SSD for Xbox Series X|S (STJR100...","https://m.media-amazon.com/images/I/61MGrHUMWzL._AC_UY218_.jpg"
"R256RRT2938AL1","Reviewed in the United States on October 20, 2021",4,"Works Great But","works great but it want let you play some newer games on it. It says you can download them to it but you have to move them over to your Xbox internal storage but other than that it works great on all other games.",true,1,2,"11","B08K3S6WJM","Xbox Series X",false,219.99,"USD",0,0,0,48834,4.8,"https://www.amazon.com/dp/B08K3S6WJM","234403.20",false,false,false,false,"Seagate Storage Expansion Card for Xbox Series X|S 1TB Solid State Drive - NVMe Expansion SSD for Xbox Series X|S (STJR100...","https://m.media-amazon.com/images/I/61MGrHUMWzL._AC_UY218_.jpg"
"R2F1GAP4JBNJEH","Reviewed in the United States on October 20, 2021",5,"It's exactly what you think it is","Way too expensive but increases internal storage capacity for the Xbox series x by 1tb.. essential if you're running the latest games.",true,1,2,"11","B08K3S6WJM","Xbox Series X",false,219.99,"USD",0,0,0,48834,4.8,"https://www.amazon.com/dp/B08K3S6WJM","234403.20",false,false,false,false,"Seagate Storage Expansion Card for Xbox Series X|S 1TB Solid State Drive - NVMe Expansion SSD for Xbox Series X|S (STJR100...","https://m.media-amazon.com/images/I/61MGrHUMWzL._AC_UY218_.jpg"
"R1ZMQI71C2NCSC","Reviewed in the United States on October 20, 2021",5,"Good","Exactly wat we needed",true,1,2,"11","B08K3S6WJM","Xbox Series X",false,219.99,"USD",0,0,0,48834,4.8,"https://www.amazon.com/dp/B08K3S6WJM","234403.20",false,false,false,false,"Seagate Storage Expansion Card for Xbox Series X|S 1TB Solid State Drive - NVMe Expansion SSD for Xbox Series X|S (STJR100...","https://m.media-amazon.com/images/I/61MGrHUMWzL._AC_UY218_.jpg"
