"review.id","review.review_data","review.rating","review.title","review.review","review.verified_purchase","product.position.page","product.position.position","product.position.global_position","product.asin","product.keyword","product.price.discounted","product.price.current_price","product.price.currency","product.price.before_price","product.price.savings_amount","product.price.savings_percent","product.reviews.total_reviews","product.reviews.rating","product.url","product.score","product.sponsored","product.amazonChoice","product.bestSeller","product.amazonPrime","product.title","product.thumbnail"
"cr-translate--97447265",,,"","",false,1,1,"10","B07PP3B1RS","nintendo switch v2",false,34.5,"USD",0,0,0,224,4.4,"https://www.amazon.com/dp/B07PP3B1RS","985.60",false,false,false,false,"Sniper Elite V2 Remastered (Nintendo Switch)","https://m.media-amazon.com/images/I/81UJAucQjuL._AC_UY218_.jpg"
"R2MHL40UI57EPW","Reviewed in the United States on June 15, 2021",1,"This game is not very good","Horrible",true,1,1,"10","B07PP3B1RS","nintendo switch v2",false,34.5,"USD",0,0,0,224,4.4,"https://www.amazon.com/dp/B07PP3B1RS","985.60",false,false,false,false,"Sniper Elite V2 Remastered (Nintendo Switch)","https://m.media-amazon.com/images/I/81UJAucQjuL._AC_UY218_.jpg"
"RQR9RACWN04D6","Reviewed in the United States on April 24, 2021",5,"Great product","Item as described. Item arrived sealed and on time.",true,1,1,"10","B07PP3B1RS","nintendo switch v2",false,34.5,"USD",0,0,0,224,4.4,"https://www.amazon.com/dp/B07PP3B1RS","985.60",false,false,false,false,"Sniper Elite V2 Remastered (Nintendo Switch)","https://m.media-amazon.com/images/I/81UJAucQjuL._AC_UY218_.jpg"
"R2ZO2FT4ER8WOB","Reviewed in the United States on January 4, 2021",1,"Que no funcionó was not work","The game was not working el juego no funcionó.",true,1,1,"10","B07PP3B1RS","nintendo switch v2",false,34.5,"USD",0,0,0,224,4.4,"https://www.amazon.com/dp/B07PP3B1RS","985.60",false,false,false,false,"Sniper Elite V2 Remastered (Nintendo Switch)","https://m.media-amazon.com/images/I/81UJAucQjuL._AC_UY218_.jpg"
"R1KYFLLLQRL9BJ","Reviewed in the United Kingdom on October 22, 2021",,"Great game","Very good",true,1,1,"10","B07PP3B1RS","nintendo switch v2",false,34.5,"USD",0,0,0,224,4.4,"https://www.amazon.com/dp/B07PP3B1RS","985.60",false,false,false,false,"Sniper Elite V2 Remastered (Nintendo Switch)","https://m.media-amazon.com/images/I/81UJAucQjuL._AC_UY218_.jpg"
"R1ZSIUN5EEYRK2","Reviewed in Canada on October 2, 2021",,"Super","Super hâte de jouer",true,1,1,"10","B07PP3B1RS","nintendo switch v2",false,34.5,"USD",0,0,0,224,4.4,"https://www.amazon.com/dp/B07PP3B1RS","985.60",false,false,false,false,"Sniper Elite V2 Remastered (Nintendo Switch)","https://m.media-amazon.com/images/I/81UJAucQjuL._AC_UY218_.jpg"
"RG4SH4MLZKGSA","Reviewed in France on July 18, 2021",,"Jeu sympa","Notre filleul a aimé pour son noel",true,1,1,"10","B07PP3B1RS","nintendo switch v2",false,34.5,"USD",0,0,0,224,4.4,"https://www.amazon.com/dp/B07PP3B1RS","985.60",false,false,false,false,"Sniper Elite V2 Remastered (Nintendo Switch)","https://m.media-amazon.com/images/I/81UJAucQjuL._AC_UY218_.jpg"
"R2WEKEI2I0FMQJ","Reviewed in the United Kingdom on July 7, 2021",,"To Be a Sniper or Not to Be a Sniper that's not a question","I actually Played Sniper Elite V1 on Wii and found the controls a bit hard V2 has no such problems. Amazing idea for a game (Sneaking around and head shots) this is what I played after those PC Delta Force games were done. I'm not into COD or Halo Multiplayer FPS type things I played the for the single player campaign and the kill shots. I love this game and it's 2 so far sequels will play SEV5 on the switch if such a thing comes about.",true,1,1,"10","B07PP3B1RS","nintendo switch v2",false,34.5,"USD",0,0,0,224,4.4,"https://www.amazon.com/dp/B07PP3B1RS","985.60",false,false,false,false,"Sniper Elite V2 Remastered (Nintendo Switch)","https://m.media-amazon.com/images/I/81UJAucQjuL._AC_UY218_.jpg"
"R1EDQZCQ28574Z","Reviewed in Italy on June 20, 2021",,"Bel gioco","Se si è appassionati di videogame di cecchini sicuramente è da acquistare (insieme agli altri della serie), su Nintendo Switch Lite non è alla pari delle console casalinghe, ma sicuramente rende bene graficamente e la giocabilità è la stessa, il bello però è di poterci giocare dovunque. Copertina in inglese, ma videogame completamente in italiano.",true,1,1,"10","B07PP3B1RS","nintendo switch v2",false,34.5,"USD",0,0,0,224,4.4,"https://www.amazon.com/dp/B07PP3B1RS","985.60",false,false,false,false,"Sniper Elite V2 Remastered (Nintendo Switch)","https://m.media-amazon.com/images/I/81UJAucQjuL._AC_UY218_.jpg"
"R2QHG1K5OHKZPR","Reviewed in Germany on February 27, 2021",,"Macht Spaß","Macht Spaß!",true,1,1,"10","B07PP3B1RS","nintendo switch v2",false,34.5,"USD",0,0,0,224,4.4,"https://www.amazon.com/dp/B07PP3B1RS","985.60",false,false,false,false,"Sniper Elite V2 Remastered (Nintendo Switch)","https://m.media-amazon.com/images/I/81UJAucQjuL._AC_UY218_.jpg"
