"review.id","review.review_data","review.rating","review.title","review.review","review.verified_purchase","product.position.page","product.position.position","product.position.global_position","product.asin","product.keyword","product.price.discounted","product.price.current_price","product.price.currency","product.price.before_price","product.price.savings_amount","product.price.savings_percent","product.reviews.total_reviews","product.reviews.rating","product.url","product.score","product.sponsored","product.amazonChoice","product.bestSeller","product.amazonPrime","product.title","product.thumbnail"
"R1LTOCXT5DJEK9","Reviewed in the United States on October 17, 2021",5,"Wireless yes","My only complaint is there is no dvorak keycap option and since the keycaps are different heights I can't just move them. Oh and if something is going to be embedded with rgb just make it so we can control them individually, I mean does Evey thing have to have a separate price point",true,1,1,"10","B06XC1WNPT","corsair k63",false,77.99,"USD",0,0,0,3925,4.5,"https://www.amazon.com/dp/B06XC1WNPT","17662.50",false,true,false,false,"Corsair K63 Compact Mechanical Gaming Keyboard - Backlit Red LED - Linear & Quiet - Cherry MX Red, CH-9115020-NA","https://m.media-amazon.com/images/I/71EZFBjFIxL._AC_UY218_.jpg"
"R6HFYTYVU95RP","Reviewed in the United States on October 14, 2021",5,"Shipping warning","Bought this as a gift along with a nice mouse and they were shipped in a bag! A BAG! So both the keyboard and the mouse boxes were damaged on the edges and the mouse box was torn. So frustrating, especially since they’re gifts. Hopefully the keyboard itself isn’t damaged and will work still. This is not a review on the item itself and only a warning to buy it from the company directly or elsewhere if you don’t want it damaged. Stars are for the keyboard as I know it’s excellent…stars for shipping would be zero.",true,1,1,"10","B06XC1WNPT","corsair k63",false,77.99,"USD",0,0,0,3925,4.5,"https://www.amazon.com/dp/B06XC1WNPT","17662.50",false,true,false,false,"Corsair K63 Compact Mechanical Gaming Keyboard - Backlit Red LED - Linear & Quiet - Cherry MX Red, CH-9115020-NA","https://m.media-amazon.com/images/I/71EZFBjFIxL._AC_UY218_.jpg"
"R1ZD7Z3OA23AA7","Reviewed in the United States on October 9, 2021",1,"Very disappoint","1. I just received this product, however there is no usb-charger cable with this product box. it seems like this box has been opened. I can not charge this keyboard because there is no charger cable. it is very disappointed. I have to return it2. Today I just Brought usb-cable myself from store, I charged it 10 hours, however it does not work at all after I disconnect through wire from my computer. the blue booth does not work at all.3. It is very disappointed product,I DO NOT RECMMAND ANY ONE TO BUY THIS ITEM.",true,1,1,"10","B06XC1WNPT","corsair k63",false,77.99,"USD",0,0,0,3925,4.5,"https://www.amazon.com/dp/B06XC1WNPT","17662.50",false,true,false,false,"Corsair K63 Compact Mechanical Gaming Keyboard - Backlit Red LED - Linear & Quiet - Cherry MX Red, CH-9115020-NA","https://m.media-amazon.com/images/I/71EZFBjFIxL._AC_UY218_.jpg"
"RSCOLYGVMO56A","Reviewed in the United States on October 9, 2021",5,"Works great","I don't have the corsair keyboard but I do use the Logitech g 915 tkl and the g513. The first one fits a big snuggly in the slot and the other I just put over the gap and it works fine. I get tons of use out of it while I sit in my recliner and do work and game. Definitely worth the price.",true,1,1,"10","B06XC1WNPT","corsair k63",false,77.99,"USD",0,0,0,3925,4.5,"https://www.amazon.com/dp/B06XC1WNPT","17662.50",false,true,false,false,"Corsair K63 Compact Mechanical Gaming Keyboard - Backlit Red LED - Linear & Quiet - Cherry MX Red, CH-9115020-NA","https://m.media-amazon.com/images/I/71EZFBjFIxL._AC_UY218_.jpg"
"R1SS9QFS1R91OA","Reviewed in the United States on September 23, 2021",1,"Epic product that is actually an epic fail","Not long after the no return period began so did the problems... The keyboard constantly looses bluetooth connection with the pc. The temp fix was to turn on/off the power... this is makes gaming almost impossible. its other possibly related problem is Keys get stuck on repeat often..... The Lapboard with mouse pad is a great idea too bad Corsair didn't include a quality keyboard with it.",true,1,1,"10","B06XC1WNPT","corsair k63",false,77.99,"USD",0,0,0,3925,4.5,"https://www.amazon.com/dp/B06XC1WNPT","17662.50",false,true,false,false,"Corsair K63 Compact Mechanical Gaming Keyboard - Backlit Red LED - Linear & Quiet - Cherry MX Red, CH-9115020-NA","https://m.media-amazon.com/images/I/71EZFBjFIxL._AC_UY218_.jpg"
"R52ZJH72P3UQI","Reviewed in the United States on September 15, 2021",2,"Lasted a couple years and then kaput","Had the keyboard for two years. Regular issues with it disconnecting or not wanting to work. However, it now only works when it’s connected via an actual cord. Save your money, keyboards should last longer.",true,1,1,"10","B06XC1WNPT","corsair k63",false,77.99,"USD",0,0,0,3925,4.5,"https://www.amazon.com/dp/B06XC1WNPT","17662.50",false,true,false,false,"Corsair K63 Compact Mechanical Gaming Keyboard - Backlit Red LED - Linear & Quiet - Cherry MX Red, CH-9115020-NA","https://m.media-amazon.com/images/I/71EZFBjFIxL._AC_UY218_.jpg"
"RQMO585TXRFMN","Reviewed in the United States on August 24, 2021",5,"Great keyboard but","This one’s pretty good, could brag about it on and on for many reasons but keep your old keyboard as a backup because if you go into dos/bios mode the computer refuses recognize it until windows is operating.",true,1,1,"10","B06XC1WNPT","corsair k63",false,77.99,"USD",0,0,0,3925,4.5,"https://www.amazon.com/dp/B06XC1WNPT","17662.50",false,true,false,false,"Corsair K63 Compact Mechanical Gaming Keyboard - Backlit Red LED - Linear & Quiet - Cherry MX Red, CH-9115020-NA","https://m.media-amazon.com/images/I/71EZFBjFIxL._AC_UY218_.jpg"
"R1S87AACTLD0RZ","Reviewed in the United States on August 21, 2021",5,"Best most comfortable keyboard mouse gaming setup for the couch potatoe/bed gamer","This thing is the greatest invention for the ""cozy"" gamer.im a 36 male that doesn't have that man cave gaming room.the next best thing,GAMING FROM THE COMFORT OF YOUR BED!!!You can also detach the keyboard from the deck and play old school.but who wants to do that lol?!",true,1,1,"10","B06XC1WNPT","corsair k63",false,77.99,"USD",0,0,0,3925,4.5,"https://www.amazon.com/dp/B06XC1WNPT","17662.50",false,true,false,false,"Corsair K63 Compact Mechanical Gaming Keyboard - Backlit Red LED - Linear & Quiet - Cherry MX Red, CH-9115020-NA","https://m.media-amazon.com/images/I/71EZFBjFIxL._AC_UY218_.jpg"
"RJOSUNXUMOU08","Reviewed in the United States on August 21, 2021",5,"satisfied with this keyboard","satisfied with this keyboard",true,1,1,"10","B06XC1WNPT","corsair k63",false,77.99,"USD",0,0,0,3925,4.5,"https://www.amazon.com/dp/B06XC1WNPT","17662.50",false,true,false,false,"Corsair K63 Compact Mechanical Gaming Keyboard - Backlit Red LED - Linear & Quiet - Cherry MX Red, CH-9115020-NA","https://m.media-amazon.com/images/I/71EZFBjFIxL._AC_UY218_.jpg"
"RN5BJSAIAOMC6","Reviewed in the United States on August 19, 2021",5,"Very comfortable lap board","I decided to go with a recliner chair instead of a pc chair for my desktop, which made desk bound mice and keyboards difficult. This lapboard is perfect for my new seat. I did not order the keyboard with it simply because of battery life issues. Instead, I use a G915 TKL keyboard which wedges perfectly into the lap board, and paired it with a G703. For non-desk gaming, this is the perfect combo.",true,1,1,"10","B06XC1WNPT","corsair k63",false,77.99,"USD",0,0,0,3925,4.5,"https://www.amazon.com/dp/B06XC1WNPT","17662.50",false,true,false,false,"Corsair K63 Compact Mechanical Gaming Keyboard - Backlit Red LED - Linear & Quiet - Cherry MX Red, CH-9115020-NA","https://m.media-amazon.com/images/I/71EZFBjFIxL._AC_UY218_.jpg"
"R2KYL1O5A5HIGH","Reviewed in the United States on October 22, 2021",5,"What I've been missing in my life","for the first time in my life, PC gaming from my couch is an effortless reality. I love it so much I bought 2.",true,1,2,"11","B07CL8B7RN","corsair k63",true,149.98,"USD",169.98,20,11.77,136,4.7,"https://www.amazon.com/dp/B07CL8B7RN","639.20",false,false,false,false,"CORSAIR K63 Wireless Mechanical Gaming Keyboard, Backlit Blue Led, Cherry MX Red - Quiet & Linear and CORSAIR K63 Wireless...","https://m.media-amazon.com/images/I/613ZUy6WXQL._AC_UY218_.jpg"
"R1J04BB0YCP3JN","Reviewed in the United States on August 22, 2021",5,"Best keyboard","Love this keyboard so glad I found it.",true,1,2,"11","B07CL8B7RN","corsair k63",true,149.98,"USD",169.98,20,11.77,136,4.7,"https://www.amazon.com/dp/B07CL8B7RN","639.20",false,false,false,false,"CORSAIR K63 Wireless Mechanical Gaming Keyboard, Backlit Blue Led, Cherry MX Red - Quiet & Linear and CORSAIR K63 Wireless...","https://m.media-amazon.com/images/I/613ZUy6WXQL._AC_UY218_.jpg"
