"review.id","review.review_data","review.rating","review.title","review.review","review.verified_purchase","product.position.page","product.position.position","product.position.global_position","product.asin","product.keyword","product.price.discounted","product.price.current_price","product.price.currency","product.price.before_price","product.price.savings_amount","product.price.savings_percent","product.reviews.total_reviews","product.reviews.rating","product.url","product.score","product.sponsored","product.amazonChoice","product.bestSeller","product.amazonPrime","product.title","product.thumbnail"
"R1FD0KEX7HIRRS","Reviewed in the United States on October 20, 2021",1,"The speaker stopped working in a month.","The speaker stopped working in a month. Please don't buy this product if you are planning to use it in adifferent country. Their warranty only works in the country you have purchased it in. I moved to a different country and now the local Lenovo refuses to service the laptop, even if it's only a month old. I called so many times and all they did was transfer the call from one person to another. When I asked to speak to the manager, they refused to transfer me to them. I received no help from Lenovo. Please don't buy this Junk Laptop.",true,1,1,"10","B08YKG5K7F","hp victus",false,1049.99,"USD",0,0,0,417,4.5,"https://www.amazon.com/dp/B08YKG5K7F","1876.50",false,false,false,false,"Lenovo Legion 5 15 Gaming Laptop, 15.6"" FHD (1920 x 1080) Display, AMD Ryzen 7 5800H Processor, 16GB DDR4 RAM, 512GB NVMe ...","https://m.media-amazon.com/images/I/71fzx0pGY5L._AC_UY218_.jpg"
"R3C7IMJ52VG686","Reviewed in the United States on October 19, 2021",5,"Good Gaming Laptop","The build quality seems very good. The laptop is very fast, and games run well. The only complaint is it should have an access door on the bottom for SSD's and Ram. The included 500g is too small and adding another is very difficult.",true,1,1,"10","B08YKG5K7F","hp victus",false,1049.99,"USD",0,0,0,417,4.5,"https://www.amazon.com/dp/B08YKG5K7F","1876.50",false,false,false,false,"Lenovo Legion 5 15 Gaming Laptop, 15.6"" FHD (1920 x 1080) Display, AMD Ryzen 7 5800H Processor, 16GB DDR4 RAM, 512GB NVMe ...","https://m.media-amazon.com/images/I/71fzx0pGY5L._AC_UY218_.jpg"
"R141WI1EZ9ADI4","Reviewed in the United States on October 19, 2021",5,"works very well ...","The product arrive as promes in good conditions and have no regrets........... very happy",true,1,1,"10","B08YKG5K7F","hp victus",false,1049.99,"USD",0,0,0,417,4.5,"https://www.amazon.com/dp/B08YKG5K7F","1876.50",false,false,false,false,"Lenovo Legion 5 15 Gaming Laptop, 15.6"" FHD (1920 x 1080) Display, AMD Ryzen 7 5800H Processor, 16GB DDR4 RAM, 512GB NVMe ...","https://m.media-amazon.com/images/I/71fzx0pGY5L._AC_UY218_.jpg"
"R2ZAKUA4OXGP8","Reviewed in the United States on October 18, 2021",5,"Such a great value","This is truly amazing for $1,000. Runs most games great and is high quality. Don’t miss out on this",true,1,1,"10","B08YKG5K7F","hp victus",false,1049.99,"USD",0,0,0,417,4.5,"https://www.amazon.com/dp/B08YKG5K7F","1876.50",false,false,false,false,"Lenovo Legion 5 15 Gaming Laptop, 15.6"" FHD (1920 x 1080) Display, AMD Ryzen 7 5800H Processor, 16GB DDR4 RAM, 512GB NVMe ...","https://m.media-amazon.com/images/I/71fzx0pGY5L._AC_UY218_.jpg"
"R3C6J1AAXWCK3A","Reviewed in the United States on October 18, 2021",1,"Dead pixels on the screen","My laptop has dead pixels on the screen, and Amazon didn't replace it because I ship it on Freight Forwarder company address. I am very disappointed",true,1,1,"10","B08YKG5K7F","hp victus",false,1049.99,"USD",0,0,0,417,4.5,"https://www.amazon.com/dp/B08YKG5K7F","1876.50",false,false,false,false,"Lenovo Legion 5 15 Gaming Laptop, 15.6"" FHD (1920 x 1080) Display, AMD Ryzen 7 5800H Processor, 16GB DDR4 RAM, 512GB NVMe ...","https://m.media-amazon.com/images/I/71fzx0pGY5L._AC_UY218_.jpg"
"R9DA1IPPX1TFT","Reviewed in the United States on October 17, 2021",4,"Only 1 downside","Low capacity graphics card but powerful",true,1,1,"10","B08YKG5K7F","hp victus",false,1049.99,"USD",0,0,0,417,4.5,"https://www.amazon.com/dp/B08YKG5K7F","1876.50",false,false,false,false,"Lenovo Legion 5 15 Gaming Laptop, 15.6"" FHD (1920 x 1080) Display, AMD Ryzen 7 5800H Processor, 16GB DDR4 RAM, 512GB NVMe ...","https://m.media-amazon.com/images/I/71fzx0pGY5L._AC_UY218_.jpg"
"R3QG57I2UQQZZK","Reviewed in the United States on October 17, 2021",5,"good","good",true,1,1,"10","B08YKG5K7F","hp victus",false,1049.99,"USD",0,0,0,417,4.5,"https://www.amazon.com/dp/B08YKG5K7F","1876.50",false,false,false,false,"Lenovo Legion 5 15 Gaming Laptop, 15.6"" FHD (1920 x 1080) Display, AMD Ryzen 7 5800H Processor, 16GB DDR4 RAM, 512GB NVMe ...","https://m.media-amazon.com/images/I/71fzx0pGY5L._AC_UY218_.jpg"
"R16KLSAFZAD5YL","Reviewed in the United States on October 15, 2021",5,"Good First Impressions","Initial impressions are mostly positive. I immediately reinstalled this with a fresh copy of Win. 10 and it was pretty darn simple to get to gaming again. Don't like the Vantage software though. Got some high RAM usage and multiple instances running simultaneously. The Fn + Space works just fine for me for lighting control using (what I assume is) the Lenovo Function (Fn) driver only, and all else is BIOS or Windows controlled well enough. Screen is nicer than I expected and build quality seems solid. Fast and games well at its price point. Will update this review at a later date, after some usage.",true,1,1,"10","B08YKG5K7F","hp victus",false,1049.99,"USD",0,0,0,417,4.5,"https://www.amazon.com/dp/B08YKG5K7F","1876.50",false,false,false,false,"Lenovo Legion 5 15 Gaming Laptop, 15.6"" FHD (1920 x 1080) Display, AMD Ryzen 7 5800H Processor, 16GB DDR4 RAM, 512GB NVMe ...","https://m.media-amazon.com/images/I/71fzx0pGY5L._AC_UY218_.jpg"
"R2QY521QOD0L4C","Reviewed in the United States on October 14, 2021",5,"Good for the price.","Good for the price.",true,1,1,"10","B08YKG5K7F","hp victus",false,1049.99,"USD",0,0,0,417,4.5,"https://www.amazon.com/dp/B08YKG5K7F","1876.50",false,false,false,false,"Lenovo Legion 5 15 Gaming Laptop, 15.6"" FHD (1920 x 1080) Display, AMD Ryzen 7 5800H Processor, 16GB DDR4 RAM, 512GB NVMe ...","https://m.media-amazon.com/images/I/71fzx0pGY5L._AC_UY218_.jpg"
"RTB9AWLRB7F9C","Reviewed in the United States on October 12, 2021",3,"Almost","I really had high hopes for this laptop but I found a couple of issues that caused me to return it. First, there was a little bit of backlight bleed on the bottom left side of the screen. While the screen was nice and there was the normal amount of IPS glow, the little white light bleeding through on the bottom left caused me some concern. Although it was not much, it was enough for me to wonder if it would get worse over time. Knowing that there have been some who have complained about screen issues, I did not want to take the chance.Second, the laptop had a few keys that had tactile issues. The #3, #4, and W were not as responsive and springy as the other keys. When I barely moved my fingers across the number row without applying pressure, I could feel that the #3 and #4 keys seemed to be off a little. It worked when typing but I could tell the difference between them and the other keys. The W key was not as bad but you could still feel the difference between it and the Q, E, A, and S. While they may have never caused any issues throughout the life of the laptop, I don't want to take that risk with a $1000+ laptop. I have seen videos and forum posts about this same model where keys are sticking and/or not responding. I did not want to send it to Lenovo for warranty service since I just bought it. Personally, I don't trust a device that has to receive warranty repairs right out of the box. Hopefully, Lenovo can address these issues because this seems like it could be a very great machine.",true,1,1,"10","B08YKG5K7F","hp victus",false,1049.99,"USD",0,0,0,417,4.5,"https://www.amazon.com/dp/B08YKG5K7F","1876.50",false,false,false,false,"Lenovo Legion 5 15 Gaming Laptop, 15.6"" FHD (1920 x 1080) Display, AMD Ryzen 7 5800H Processor, 16GB DDR4 RAM, 512GB NVMe ...","https://m.media-amazon.com/images/I/71fzx0pGY5L._AC_UY218_.jpg"
"cr-translate-1201158581",,,"","",false,1,2,"11","B08YKHGKTV","hp victus",false,699.99,"USD",0,0,0,123,4.4,"https://www.amazon.com/dp/B08YKHGKTV","541.20",false,false,false,false,"Lenovo IdeaPad Gaming 3 15 15.6"" Laptop, 15.6"" FHD (1920 x 1080) Display, AMD Ryzen 5 5600H Processor, NVIDIA GeForce GTX ...","https://m.media-amazon.com/images/I/71lNj3046jL._AC_UY218_.jpg"
