"review.id","review.review_data","review.rating","review.title","review.review","review.verified_purchase","product.position.page","product.position.position","product.position.global_position","product.asin","product.keyword","product.price.discounted","product.price.current_price","product.price.currency","product.price.before_price","product.price.savings_amount","product.price.savings_percent","product.reviews.total_reviews","product.reviews.rating","product.url","product.score","product.sponsored","product.amazonChoice","product.bestSeller","product.amazonPrime","product.title","product.thumbnail"
"cr-translate-2146460038",,,"","",false,1,1,"10","B084RPZD6T","razer viper mini",true,29.99,"USD",39.99,10,25.01,22028,4.7,"https://www.amazon.com/dp/B084RPZD6T","103531.60",false,true,false,false,"Razer Viper Mini Ultralight Gaming Mouse: Fastest Gaming Switches - 8500 DPI Optical Sensor - Chroma RGB Underglow Lightin...","https://m.media-amazon.com/images/I/516NCsvHpmL._AC_UY218_.jpg"
"R17WLAKSL7TPXJ","Reviewed in the United States on October 22, 2021",5,"Great mouse","I love the mouse great price and great galing",true,1,1,"10","B084RPZD6T","razer viper mini",true,29.99,"USD",39.99,10,25.01,22028,4.7,"https://www.amazon.com/dp/B084RPZD6T","103531.60",false,true,false,false,"Razer Viper Mini Ultralight Gaming Mouse: Fastest Gaming Switches - 8500 DPI Optical Sensor - Chroma RGB Underglow Lightin...","https://m.media-amazon.com/images/I/516NCsvHpmL._AC_UY218_.jpg"
"R1DCGPTD3G24SL","Reviewed in the United States on October 22, 2021",5,"Best light mouse I’ve used","Very light and comfy. Great sensor. Clicks arent mushy.",true,1,1,"10","B084RPZD6T","razer viper mini",true,29.99,"USD",39.99,10,25.01,22028,4.7,"https://www.amazon.com/dp/B084RPZD6T","103531.60",false,true,false,false,"Razer Viper Mini Ultralight Gaming Mouse: Fastest Gaming Switches - 8500 DPI Optical Sensor - Chroma RGB Underglow Lightin...","https://m.media-amazon.com/images/I/516NCsvHpmL._AC_UY218_.jpg"
"R11GZAIHNDZU23","Reviewed in the United States on October 22, 2021",1,"Haven’t received my refund","The mouse didn’t work well so i returned it. 2 weeks later they said i sent back a different item and will not be receiving my refund. Ridiculous",true,1,1,"10","B084RPZD6T","razer viper mini",true,29.99,"USD",39.99,10,25.01,22028,4.7,"https://www.amazon.com/dp/B084RPZD6T","103531.60",false,true,false,false,"Razer Viper Mini Ultralight Gaming Mouse: Fastest Gaming Switches - 8500 DPI Optical Sensor - Chroma RGB Underglow Lightin...","https://m.media-amazon.com/images/I/516NCsvHpmL._AC_UY218_.jpg"
"R38IC9L85R7FYN","Reviewed in the United States on October 22, 2021",5,"Buen Mouse","-El cable parece cinta de tenis, no tiene fricción y no estorba.-No encontraras un mouse mejor por ese precio.-El rgb es facil de configurar.-Excelente compra.",true,1,1,"10","B084RPZD6T","razer viper mini",true,29.99,"USD",39.99,10,25.01,22028,4.7,"https://www.amazon.com/dp/B084RPZD6T","103531.60",false,true,false,false,"Razer Viper Mini Ultralight Gaming Mouse: Fastest Gaming Switches - 8500 DPI Optical Sensor - Chroma RGB Underglow Lightin...","https://m.media-amazon.com/images/I/516NCsvHpmL._AC_UY218_.jpg"
"R2B45X7O8216ZL","Reviewed in the United States on October 21, 2021",2,"Enjoyed the Mouse but it Broke","I enjoyed the mouse for 3 months or so but then the mouse wheel went wonky. I didn't have the issues others reported here with the buttons or the DPI, but one day the mouse wheel suddenly stopped working correctly-- jumped all over the place or wouldn't respond. It is a shame, I would have expected better quality from Razer considering I have used cheap unbranded mice for longer than 3 months, and sometimes they never break they just get old and gross and are only like 10$ to replace.",true,1,1,"10","B084RPZD6T","razer viper mini",true,29.99,"USD",39.99,10,25.01,22028,4.7,"https://www.amazon.com/dp/B084RPZD6T","103531.60",false,true,false,false,"Razer Viper Mini Ultralight Gaming Mouse: Fastest Gaming Switches - 8500 DPI Optical Sensor - Chroma RGB Underglow Lightin...","https://m.media-amazon.com/images/I/516NCsvHpmL._AC_UY218_.jpg"
"R1WM3DRHNCWB84","Reviewed in the United States on October 20, 2021",1,"Actually ther worst mouse ive used.","Super cool looking and neat but stutters a lot and is very jittery and the laser doesnt track well with my cursor constantly zooming to the other side of the screen and sometimes not responding at all. very sad since i love razor maybe i just got a defective one.",true,1,1,"10","B084RPZD6T","razer viper mini",true,29.99,"USD",39.99,10,25.01,22028,4.7,"https://www.amazon.com/dp/B084RPZD6T","103531.60",false,true,false,false,"Razer Viper Mini Ultralight Gaming Mouse: Fastest Gaming Switches - 8500 DPI Optical Sensor - Chroma RGB Underglow Lightin...","https://m.media-amazon.com/images/I/516NCsvHpmL._AC_UY218_.jpg"
"R33PTWH5I7S1IN","Reviewed in the United States on October 20, 2021",5,"Genial","Bastante comodo, el teflon desliza muy bien. sensor increible. Pero si tienes mano bastante grande no seria bueno para ti",true,1,1,"10","B084RPZD6T","razer viper mini",true,29.99,"USD",39.99,10,25.01,22028,4.7,"https://www.amazon.com/dp/B084RPZD6T","103531.60",false,true,false,false,"Razer Viper Mini Ultralight Gaming Mouse: Fastest Gaming Switches - 8500 DPI Optical Sensor - Chroma RGB Underglow Lightin...","https://m.media-amazon.com/images/I/516NCsvHpmL._AC_UY218_.jpg"
"RVPIV63AGLW9K","Reviewed in the United States on October 20, 2021",5,"Great Mouse","I have large hands so I had to adjust my grip to be the most optimal with this mouse. I used the naga trinity for most of my gaming before hand. This is now the only mouse I use. I love how light and easy to move this mouse is.",true,1,1,"10","B084RPZD6T","razer viper mini",true,29.99,"USD",39.99,10,25.01,22028,4.7,"https://www.amazon.com/dp/B084RPZD6T","103531.60",false,true,false,false,"Razer Viper Mini Ultralight Gaming Mouse: Fastest Gaming Switches - 8500 DPI Optical Sensor - Chroma RGB Underglow Lightin...","https://m.media-amazon.com/images/I/516NCsvHpmL._AC_UY218_.jpg"
"R1YBWDNF8ATR1B","Reviewed in the United States on October 20, 2021",5,"Great mouse, did research before buying","I did my research directly on Razer's website to find the mouse that fit my needs best. I was having issues with my previous Razer mouse, only to find that my mousepad was the cause. I actually put away my Mamba Wireless for this mouse because I prefer the soft cord and typically don't gravitate toward wireless for gaming. If you are looking for a wireless mouse, I would recommend the Mamba wireless. For wired, any of Razer's Speedflex models, including this one. I ultimately chose this one and buying here for price and dpi, as I typically game at 9,000 dpi, but like to change that a bit for different games/gameplay types.Overall, would buy again and recommend as a wired mouse. The pink is a nice color to spice up my rig.",true,1,1,"10","B084RPZD6T","razer viper mini",true,29.99,"USD",39.99,10,25.01,22028,4.7,"https://www.amazon.com/dp/B084RPZD6T","103531.60",false,true,false,false,"Razer Viper Mini Ultralight Gaming Mouse: Fastest Gaming Switches - 8500 DPI Optical Sensor - Chroma RGB Underglow Lightin...","https://m.media-amazon.com/images/I/516NCsvHpmL._AC_UY218_.jpg"
