"review.id","review.review_data","review.rating","review.title","review.review","review.verified_purchase","product.position.page","product.position.position","product.position.global_position","product.asin","product.keyword","product.price.discounted","product.price.current_price","product.price.currency","product.price.before_price","product.price.savings_amount","product.price.savings_percent","product.reviews.total_reviews","product.reviews.rating","product.url","product.score","product.sponsored","product.amazonChoice","product.bestSeller","product.amazonPrime","product.title","product.thumbnail"
"cr-translate-954851124",,,"","",false,1,1,"10","B082M4L5K6","corsair virtuoso",false,179.99,"USD",0,0,0,5974,4.3,"https://www.amazon.com/dp/B082M4L5K6","25688.20",false,true,false,false,"Sponsored Ad - CORSAIR Virtuoso RGB Wireless High-Fidelity Gaming Headset, White - Works with PC, macOS, etc.","https://m.media-amazon.com/images/I/618eNUId2lL._AC_UY218_.jpg"
"R2P0JMFUF4KFQ7","Reviewed in the United States on October 22, 2021",1,"The worst headset ever","I had the Corsair Vengeance before these. These hurt your head so bad after any extended amount of time. The headband is TRASH. Do not buy these. Corsair Vengeance is lightyears better at a cheaper price.",true,1,1,"10","B082M4L5K6","corsair virtuoso",false,179.99,"USD",0,0,0,5974,4.3,"https://www.amazon.com/dp/B082M4L5K6","25688.20",false,true,false,false,"Sponsored Ad - CORSAIR Virtuoso RGB Wireless High-Fidelity Gaming Headset, White - Works with PC, macOS, etc.","https://m.media-amazon.com/images/I/618eNUId2lL._AC_UY218_.jpg"
"RKM1VKF71F0GF","Reviewed in the United States on October 21, 2021",2,"Migraine Inducing","I really wanted to like these headphones, but after consistent usage over 3 months, I'm pulling the plug. I wish I could return them too. The headband sits very uncomfortably on top of my head, and the weight of the headphones pulls down on the ears as well. After about 45 minutes of wearing them, I get a solid headache. I read the reviews before I purchased them, and I regret not taking the advice of others. I got them anyway because the rest of my setup is Corsair RGB so I wanted to keep the theme going. For as much money as I spent on these, it's not worth getting a migraine every night. The sound quality is actually great, but again, it's hard to enjoy the quality when it's hurting. Photo is from the day I received them in the mail.",true,1,1,"10","B082M4L5K6","corsair virtuoso",false,179.99,"USD",0,0,0,5974,4.3,"https://www.amazon.com/dp/B082M4L5K6","25688.20",false,true,false,false,"Sponsored Ad - CORSAIR Virtuoso RGB Wireless High-Fidelity Gaming Headset, White - Works with PC, macOS, etc.","https://m.media-amazon.com/images/I/618eNUId2lL._AC_UY218_.jpg"
"R3G6E2KBPQLLL8","Reviewed in the United States on October 19, 2021",5,"Fit and sounds amazing","I was worried about the reviews saying it was uncomfortable but I guess I have the model shaped head they used to engineer these. Sounds is amazing although it took a while to adjust the eq just right. Save your presets because movies sound much different than games.",true,1,1,"10","B082M4L5K6","corsair virtuoso",false,179.99,"USD",0,0,0,5974,4.3,"https://www.amazon.com/dp/B082M4L5K6","25688.20",false,true,false,false,"Sponsored Ad - CORSAIR Virtuoso RGB Wireless High-Fidelity Gaming Headset, White - Works with PC, macOS, etc.","https://m.media-amazon.com/images/I/618eNUId2lL._AC_UY218_.jpg"
"R3672ZXSHE3QO7","Reviewed in the United States on October 19, 2021",5,"Great charge and comfortable","Very comfortable and holds a charge for a long time. I use these exclusively for work (Zoom meetings mostly) and they work as long as I need them to.At first, long wear was a bit uncomfortable due to my ears touching the inside of the headphones but a quick adjustment and the uncomfortable feeling leaves shortly after.I like that I have the ability to mute/unmute with a touch of a button on the microphone connector. The headphones stay snug on my head and have great Bluetooth range.If you were/are on the fence about purchasing a new pair of headphones, especially for work, these get the job done with no added inconvenience.",true,1,1,"10","B082M4L5K6","corsair virtuoso",false,179.99,"USD",0,0,0,5974,4.3,"https://www.amazon.com/dp/B082M4L5K6","25688.20",false,true,false,false,"Sponsored Ad - CORSAIR Virtuoso RGB Wireless High-Fidelity Gaming Headset, White - Works with PC, macOS, etc.","https://m.media-amazon.com/images/I/618eNUId2lL._AC_UY218_.jpg"
"R2GXC0YYDJ3WWI","Reviewed in the United States on October 18, 2021",2,"Terrible","Been using for 2 weeks and the audio is awful just went back to my old head set",true,1,1,"10","B082M4L5K6","corsair virtuoso",false,179.99,"USD",0,0,0,5974,4.3,"https://www.amazon.com/dp/B082M4L5K6","25688.20",false,true,false,false,"Sponsored Ad - CORSAIR Virtuoso RGB Wireless High-Fidelity Gaming Headset, White - Works with PC, macOS, etc.","https://m.media-amazon.com/images/I/618eNUId2lL._AC_UY218_.jpg"
"R2UOTYDJWTAWF3","Reviewed in the United States on October 16, 2021",5,"Excellent headset and versatility, but subpar software","I want to preface this by saying I've had this headset for a year and a half and has held up well through the somewhat torture I've given it! Keep in mind I use this headset anywhere from 10-25 hours a week so if that gives you any idea as to how much I've used these, do with that as you will. Anyways here's a pros and cons list to simplify it with a summary to recap my thoughts on this headset.Pros:-The versatility of these headphones is great mainly because you can plug them into your pc or console, charge them and keep playing or just use them while plugged in, AND connect them to your phone with an aux cord if you wanna walk around with them and blast music.-The sound quality is phenomenal with highs being crisp and lows being bassy and the mids filling the gaps to make a smoothsound or listening to music a joy. The sound isolation is great as you can hear the footsteps of someone below, above, behind. It makes a very immersive experience as it can turn a roar from a zombie around the corner go from ""ehh"", to ""holy hell what was that, and where did it come from"" experience. Not always obviously, but I've never gotten an experience like this from any other headset.-They look great, and have held up well even though I can be a bit rough with them from time to time.-When Icue works the customization for the EQ is impressive and enhances the experience if done right. Though careful, with a custom EQ, because if you push it too high or low you could have distortion issues. Something to be aware of as I feel this is more of a software issue rather than the headsets ability to produce the desired sound you want.-Mic quality is superb wireless and connected. I've never had anyone have problems with my mic quality being poor or choppy. Only time there's issues with this is either some software, program, or internet issues and not the mic itself.Cons:-Not a surprise but the cost is up there, but honestly I've gotten my money's worth and they keep going strong after a year and a half so it's a con, but small at this point.-The ear cups are not made to last. I did have to replace the ear cups after about 6 months of regular use, and it wasn't the most comfortable tbh, but I found bigger/better replacement Earcups from a 3rd party that were more much comfortable and have held up better (I have a big head and ears so this was a great find) at the cost of loss to noise canceling it is ""supposed"" to have.-Battery life on these are pretty good, but not 20 hours as they advertise. Even when they were brand new I was getting MAYBE 14-16 hours if conditions were perfect, but not 20. This being said the LI-Ion battery still gets me a solid 10 hours on a full charge and the recharge is quick so I can just throw the cable on to charge while staying in ""wireless"" mode and then 30min have passed and it's back to green again so it's a con for not completely accurate advertising, but not terrible battery life by any stretch. Just unrealistic.Cons unrelated to the headset itself, but corsairs software issues:-RGB... Idk WHY, when you turn on the headset, the mic goes RGB and shows the rainbow, but then you can not customize the mic color at all. WHY show that off and then not come through. Solid miss there.-until recently I HATED ICue but I had no choice but to use it for my headset, but with some recent updates it's gotten better. Less buggy and more dependable, but when my headset acts up I usually look at ICue first to make sure it isn't the, poor excuse for, software causing the issue.-ICue is just a very subpar app and honestly needs some major work. Idk why it's as buggy as it is because this headset deserved better than this. I won't drag the rating down because of something the app does wrong where as the headset itself is pretty dang great.-I'm lumping this in the software issue seeing as it's controlled through Icue is the 7.1 surround sound is not phenomenal. It's pretty good in some games that have surround sound features enabled, but for movies, shows, music ect. It's not great as it sometimes cuts out the mids HARD to the point where sometimes an explosion sounds muffled or just wonky for a lack of a better term. Also the higher frequencies tend to get swollowed up during bassier sequences in whatever it is so it leaves it feeling hollow in many scenes. My advice is stick with the stereo setting as it does a pretty great job of sounding equal and correct in any setting rather than hit or miss with everything. Nifty idea that fell flat imo.-voice prompts... Just... Don't use that setting...Finally the...Summary:Overall I maybe leaving a few things out, but most of the cons on the headset itself are little or not a deal breaker (atleast for me), but things to think on how to improve the virtuoso descendants going forward. I personally love the headset itself and there's more I could say, but at this point you'll have based most of your decision on what I said earlier if you even made it this far lol. My biggest gripes are the ICue software we're forced to deal with as it maybe ""esthetically"" pleasing to look at. It's a far cry from great, or even good. As it stands now it works mostly, but the bugs drive me insane. The lack of thought to letting people mess with the mics light colors is what lends me to believe it's lazy or just cheap to not let people do what they want which is just rediculous to me. I digress from this bit of rage here. In all a great headset itself, but poor software to harness all of the greatness.Headset - 9/10 few fixes/adjustments and it would probably be perfectSoftware (Icue) - was 3 - now after many updates later 6/10. If they could focus on a great customer experience and fix the bugs rather than just cheap implementation of features or lack there of for that matter, and some which haven't changed. This would be a much better experience.",true,1,1,"10","B082M4L5K6","corsair virtuoso",false,179.99,"USD",0,0,0,5974,4.3,"https://www.amazon.com/dp/B082M4L5K6","25688.20",false,true,false,false,"Sponsored Ad - CORSAIR Virtuoso RGB Wireless High-Fidelity Gaming Headset, White - Works with PC, macOS, etc.","https://m.media-amazon.com/images/I/618eNUId2lL._AC_UY218_.jpg"
"RHLAWPEQ99WB0","Reviewed in the United States on October 16, 2021",3,"If you're buying for the mic quality, there's a cheaper alternative","I have no idea how this is possible, but my $25.00 Logitech headset from 5 years ago actually has better mic quality than this. Here's the Logitech: https://smile.amazon.com/gp/product/B000UXZQ42/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1I was strictly buying these based on the description that said ""broadcast quality"" for the mic, so figured hese would be top of the line, and a huge upgrade from my $25.00 ones. Nope. And I did use them plugged in with USB, since I know that gives maximum quality. The Logitechs just have a more ""in the room"" sound and is more crystal clear.",true,1,1,"10","B082M4L5K6","corsair virtuoso",false,179.99,"USD",0,0,0,5974,4.3,"https://www.amazon.com/dp/B082M4L5K6","25688.20",false,true,false,false,"Sponsored Ad - CORSAIR Virtuoso RGB Wireless High-Fidelity Gaming Headset, White - Works with PC, macOS, etc.","https://m.media-amazon.com/images/I/618eNUId2lL._AC_UY218_.jpg"
"R2K2QZ77L2QFE","Reviewed in the United States on October 16, 2021",5,"Excelente","100% recomendados muy contento con este producto llevo meses y uff muy buenos",true,1,1,"10","B082M4L5K6","corsair virtuoso",false,179.99,"USD",0,0,0,5974,4.3,"https://www.amazon.com/dp/B082M4L5K6","25688.20",false,true,false,false,"Sponsored Ad - CORSAIR Virtuoso RGB Wireless High-Fidelity Gaming Headset, White - Works with PC, macOS, etc.","https://m.media-amazon.com/images/I/618eNUId2lL._AC_UY218_.jpg"
"R1V5OPV77BSUL2","Reviewed in the United States on October 15, 2021",5,"These headset sound good and look good they even sound better when you put the in wired mode","Your browser does not support HTML5 video. I purchased these headset because my Astro 50s mic wasn’t all that and the sound quality is even better than my Astro… when you have them wired in but these headset do lack bass but there is a option to add bass to them in the software",true,1,1,"10","B082M4L5K6","corsair virtuoso",false,179.99,"USD",0,0,0,5974,4.3,"https://www.amazon.com/dp/B082M4L5K6","25688.20",false,true,false,false,"Sponsored Ad - CORSAIR Virtuoso RGB Wireless High-Fidelity Gaming Headset, White - Works with PC, macOS, etc.","https://m.media-amazon.com/images/I/618eNUId2lL._AC_UY218_.jpg"
