"review.id","review.review_data","review.rating","review.title","review.review","review.verified_purchase","product.position.page","product.position.position","product.position.global_position","product.asin","product.keyword","product.price.discounted","product.price.current_price","product.price.currency","product.price.before_price","product.price.savings_amount","product.price.savings_percent","product.reviews.total_reviews","product.reviews.rating","product.url","product.score","product.sponsored","product.amazonChoice","product.bestSeller","product.amazonPrime","product.title","product.thumbnail"
"R3QG5WWEOL6Z9X","Reviewed in the United States on October 18, 2021",2,"Junk","I purchase this for my son and after reading the reviews I should not have. It was missing the cord, there were no instructions, and there was no seal making me think that somebody had already purchased it taking the cord out of it and sent it back.Amazon did return it but unfortunately I still haven’t gotten credit for it. I don’t recommend it, it’s not a good product. Five below has the same thing for five bucks",true,1,2,"11","B07H4MPJ5X","Xbox One",false,34.99,"USD",0,0,0,11289,4.1,"https://www.amazon.com/dp/B07H4MPJ5X","46284.90",false,false,true,false,"Collective Minds Xbox One Mod Pack - Xbox One","https://m.media-amazon.com/images/I/71WGstrM25L._AC_UY218_.jpg"
"R25VCCQK6N3CDC","Reviewed in the United States on October 13, 2021",1,"Paddles aren't in right place for my hand.","Takes to much effort to reach the paddles while playing. Might be because I am not use to xbox controllers but for me they seemed to far away from where my fingers are holding the controller.",true,1,2,"11","B07H4MPJ5X","Xbox One",false,34.99,"USD",0,0,0,11289,4.1,"https://www.amazon.com/dp/B07H4MPJ5X","46284.90",false,false,true,false,"Collective Minds Xbox One Mod Pack - Xbox One","https://m.media-amazon.com/images/I/71WGstrM25L._AC_UY218_.jpg"
"R1O1RYHKFO0Z6T","Reviewed in the United States on October 13, 2021",1,"it doesn't worm","this sucks i plug in to my controller watch videos and it doesn't do what the videos are doing. waste of money just save up and buy a cronus zen.",true,1,2,"11","B07H4MPJ5X","Xbox One",false,34.99,"USD",0,0,0,11289,4.1,"https://www.amazon.com/dp/B07H4MPJ5X","46284.90",false,false,true,false,"Collective Minds Xbox One Mod Pack - Xbox One","https://m.media-amazon.com/images/I/71WGstrM25L._AC_UY218_.jpg"
"R58K7I6G8YBVM","Reviewed in the United States on October 12, 2021",4,"The build quality is very good for the price","I like the build quality, and the charger is micro USB, so if you are using a newer Xbox controller you will have to get an adapter.",true,1,2,"11","B07H4MPJ5X","Xbox One",false,34.99,"USD",0,0,0,11289,4.1,"https://www.amazon.com/dp/B07H4MPJ5X","46284.90",false,false,true,false,"Collective Minds Xbox One Mod Pack - Xbox One","https://m.media-amazon.com/images/I/71WGstrM25L._AC_UY218_.jpg"
"RXHKU4POIG591","Reviewed in the United States on October 9, 2021",1,"Worked fine until it didn't","Used moderately for a few months and now the paddles don't work. They are still intact but they no longer map to any buttons .",true,1,2,"11","B07H4MPJ5X","Xbox One",false,34.99,"USD",0,0,0,11289,4.1,"https://www.amazon.com/dp/B07H4MPJ5X","46284.90",false,false,true,false,"Collective Minds Xbox One Mod Pack - Xbox One","https://m.media-amazon.com/images/I/71WGstrM25L._AC_UY218_.jpg"
"R1NSW8WFT51904","Reviewed in the United States on October 9, 2021",4,"Great product but has on major flaw","So I got this about a year ago, and I was super excited. It was my first big gaming purchase that wasn't a console, and it worked out fantastic in the beginning. The paddles were super easy to remap, and I LOVED the rapid fire mod for it. I played Fortnite and the pistol acted like an smg. It was great until the controller started randomly disconnecting. It would happen every day at lease twice, and it was super aggrivating. I found out it was because of the micro-usb connection and it will sometimes shift a little bit. It cost me many games in the long run because I would have to unplug and replug the cord in every time. Sometimes it would take me four tries to get it working again. But I guess it is a $35 product...",true,1,2,"11","B07H4MPJ5X","Xbox One",false,34.99,"USD",0,0,0,11289,4.1,"https://www.amazon.com/dp/B07H4MPJ5X","46284.90",false,false,true,false,"Collective Minds Xbox One Mod Pack - Xbox One","https://m.media-amazon.com/images/I/71WGstrM25L._AC_UY218_.jpg"
"R2X3F95QRZUXD1","Reviewed in the United States on October 9, 2021",1,"Not worth the money","This pack is worthless. Bought it thinking it would be a quick and easy fix for trying to play one game. The pack wouldn't even connect to my controller when plugged in. Also when trying to be used the only button that would work was the Xbox home button. Save your money and buy an elite controller",true,1,2,"11","B07H4MPJ5X","Xbox One",false,34.99,"USD",0,0,0,11289,4.1,"https://www.amazon.com/dp/B07H4MPJ5X","46284.90",false,false,true,false,"Collective Minds Xbox One Mod Pack - Xbox One","https://m.media-amazon.com/images/I/71WGstrM25L._AC_UY218_.jpg"
"R2ISOJJTLKJ42I","Reviewed in the United States on October 6, 2021",1,"Strike pack only worked for 2 days","I’ve had the strike pack for 4 days and only been able to use it twice. The strike pack in not responsive nor is my controller when strike pack is plugged in. I tried firmware update and reset but no luck. I hope my replacement doesn’t end up like my current one.",true,1,2,"11","B07H4MPJ5X","Xbox One",false,34.99,"USD",0,0,0,11289,4.1,"https://www.amazon.com/dp/B07H4MPJ5X","46284.90",false,false,true,false,"Collective Minds Xbox One Mod Pack - Xbox One","https://m.media-amazon.com/images/I/71WGstrM25L._AC_UY218_.jpg"
"R3GKIZ1KTIFJXR","Reviewed in the United States on October 5, 2021",1,"Broke very fast","It broke super fast",true,1,2,"11","B07H4MPJ5X","Xbox One",false,34.99,"USD",0,0,0,11289,4.1,"https://www.amazon.com/dp/B07H4MPJ5X","46284.90",false,false,true,false,"Collective Minds Xbox One Mod Pack - Xbox One","https://m.media-amazon.com/images/I/71WGstrM25L._AC_UY218_.jpg"
"R2VQ32TCLD9KQL","Reviewed in the United States on October 5, 2021",1,"Don’t waste your money!!!","Product literally does nothing. I attempted to subscribe to mod central and website doesn’t load or work properly for updates. Customer support was no help after several email attempts. Don’t purchase this product, trust me",true,1,2,"11","B07H4MPJ5X","Xbox One",false,34.99,"USD",0,0,0,11289,4.1,"https://www.amazon.com/dp/B07H4MPJ5X","46284.90",false,false,true,false,"Collective Minds Xbox One Mod Pack - Xbox One","https://m.media-amazon.com/images/I/71WGstrM25L._AC_UY218_.jpg"
