"review.id","review.review_data","review.rating","review.title","review.review","review.verified_purchase","product.position.page","product.position.position","product.position.global_position","product.asin","product.keyword","product.price.discounted","product.price.current_price","product.price.currency","product.price.before_price","product.price.savings_amount","product.price.savings_percent","product.reviews.total_reviews","product.reviews.rating","product.url","product.score","product.sponsored","product.amazonChoice","product.bestSeller","product.amazonPrime","product.title","product.thumbnail"
"R28JA7GGBP7QJP","Reviewed in the United States on October 17, 2021",2,"Jump","It’s comfortable cuz it’s thin like paper but somehow my mouse keep jumping around when I use this mouse pad. I bought a new thicker Razer pad from Costco and it work perfect.",true,1,1,"10","B01N7R3OZ9","razer sphex v2 mini",false,7.99,"USD",0,0,0,8364,4.4,"https://www.amazon.com/dp/B01N7R3OZ9","36801.60",false,true,false,false,"Razer Sphex V2 - Mini - Ultra-Thin Form Factor - Durable polycarbonate finish","https://m.media-amazon.com/images/I/71m7H-gPPYL._AC_UY218_.jpg"
"R12UFS8JQR6HRI","Reviewed in the United States on October 17, 2021",5,"Best Gaming Pad","By far the best mouse pad I’ve used for FPS games (Warzone, Siege, and works well with other titles).I bought this because it has a really really fair price tag and because of the accuracy promised with calibrated Razer nice. I’m a huge Razer fan and this product did not let me down. I see complaints about sticky material tearing or peeling desk(s)…. It’s not super glue and is intended to be moved or replaced, it’s just sticky enough over a large surface area that it sticks hassle-free. I have a metal desk so I wouldn’t know but the adhesive again is NOT super glue.",true,1,1,"10","B01N7R3OZ9","razer sphex v2 mini",false,7.99,"USD",0,0,0,8364,4.4,"https://www.amazon.com/dp/B01N7R3OZ9","36801.60",false,true,false,false,"Razer Sphex V2 - Mini - Ultra-Thin Form Factor - Durable polycarbonate finish","https://m.media-amazon.com/images/I/71m7H-gPPYL._AC_UY218_.jpg"
"RCBPFPL9RY76F","Reviewed in the United States on October 10, 2021",1,"Terrible Quality","Pad will not stay in one place. My mouse jerks all over the place while rolling over it. It is also incredibly rough and was afraid of damaging my mouse",true,1,1,"10","B01N7R3OZ9","razer sphex v2 mini",false,7.99,"USD",0,0,0,8364,4.4,"https://www.amazon.com/dp/B01N7R3OZ9","36801.60",false,true,false,false,"Razer Sphex V2 - Mini - Ultra-Thin Form Factor - Durable polycarbonate finish","https://m.media-amazon.com/images/I/71m7H-gPPYL._AC_UY218_.jpg"
"RA711IE9HZYMR","Reviewed in the United States on October 1, 2021",5,"Smooth and thin","Really like this mousepad.So thin.Beautiful.",true,1,1,"10","B01N7R3OZ9","razer sphex v2 mini",false,7.99,"USD",0,0,0,8364,4.4,"https://www.amazon.com/dp/B01N7R3OZ9","36801.60",false,true,false,false,"Razer Sphex V2 - Mini - Ultra-Thin Form Factor - Durable polycarbonate finish","https://m.media-amazon.com/images/I/71m7H-gPPYL._AC_UY218_.jpg"
"R3VVS9AWY2TUEZ","Reviewed in the United States on September 28, 2021",5,"Solid for mouse gaming","Not much support but the mouse has no hesitation on this mat.",true,1,1,"10","B01N7R3OZ9","razer sphex v2 mini",false,7.99,"USD",0,0,0,8364,4.4,"https://www.amazon.com/dp/B01N7R3OZ9","36801.60",false,true,false,false,"Razer Sphex V2 - Mini - Ultra-Thin Form Factor - Durable polycarbonate finish","https://m.media-amazon.com/images/I/71m7H-gPPYL._AC_UY218_.jpg"
"R33UZNJDJ81YFI","Reviewed in the United States on September 16, 2021",5,"Best.. Mousepad... Ive... Ever... Owned...","Clings to desk and doesnt move, so slick my mouse is in hyperdrive mode... After coming from a cloth type pad i can honestly say that im never going back to cloth...",true,1,1,"10","B01N7R3OZ9","razer sphex v2 mini",false,7.99,"USD",0,0,0,8364,4.4,"https://www.amazon.com/dp/B01N7R3OZ9","36801.60",false,true,false,false,"Razer Sphex V2 - Mini - Ultra-Thin Form Factor - Durable polycarbonate finish","https://m.media-amazon.com/images/I/71m7H-gPPYL._AC_UY218_.jpg"
"R37NEA2RQ5YJM9","Reviewed in the United States on September 13, 2021",5,"Low profile high performance mouse surface","I bought this to replace an 8-year-old Razer Sphex skin, which was almost identical other than the size and design. The Sphex was being used on the tiny computer desk in our family room. I like having a low profile mouse pad on that desk which doesn't stick out. The Sphex did well considering how much use it got, and how my daughter liked to lift up the edges and crease them with her nails during online class until tiny pieces eventually tore up bit by bit.I like the design of these pads. The Sphex was accurately called a desktop skin, which is what it is. This new one's called 'thin mouse pad', which can be misleading. It's basically a piece of plastic that's smooth and tacky on one side (to stay in place), and textured on the other side to give good mouse performance. This new version has a cloth 'tag' that you can use to pull it up and reposition it. These are very easy to reposition, but only as long as you keep the tacky side off the table as little as possible so it doesn't collect dust, and make sure any surface you move it to is cleaned thoroughly. You also have to be careful not to crease it, since any crease on this material is permanent and will always show. For all these reasons, this is NOT appropriate as a travel mouse pad.I was initially worried that the design on this would be too bright, but the actual mousepad has more muted colors than in the pictures. Overall I highly recommend it.",true,1,1,"10","B01N7R3OZ9","razer sphex v2 mini",false,7.99,"USD",0,0,0,8364,4.4,"https://www.amazon.com/dp/B01N7R3OZ9","36801.60",false,true,false,false,"Razer Sphex V2 - Mini - Ultra-Thin Form Factor - Durable polycarbonate finish","https://m.media-amazon.com/images/I/71m7H-gPPYL._AC_UY218_.jpg"
"R32S93Q6OIEFEJ","Reviewed in the United States on September 11, 2021",4,"It works for how I use it","I didn't peel and stick it down on my desk personally, it does move around a little but it works well for how a game and I don't mind having to adjust it once in a while. It is also thin enough to easily transport it with my laptop which is nice.",true,1,1,"10","B01N7R3OZ9","razer sphex v2 mini",false,7.99,"USD",0,0,0,8364,4.4,"https://www.amazon.com/dp/B01N7R3OZ9","36801.60",false,true,false,false,"Razer Sphex V2 - Mini - Ultra-Thin Form Factor - Durable polycarbonate finish","https://m.media-amazon.com/images/I/71m7H-gPPYL._AC_UY218_.jpg"
"R3L7GTQSVHST4M","Reviewed in the United States on September 3, 2021",4,"Simple, Ultra Thin","I use this mousepad on my bed because I don't have a computer desk. I did not peel the sticky off the back. It slips around a little bit on my blanket but otherwise work pretty well, even when the blanket is wrinkled underneath, the mouse pad works as a flat surface. The finish is very smooth so the mouse moves across it quickly. I like it overall, but if you like cushion this mousepad is not for you.",true,1,1,"10","B01N7R3OZ9","razer sphex v2 mini",false,7.99,"USD",0,0,0,8364,4.4,"https://www.amazon.com/dp/B01N7R3OZ9","36801.60",false,true,false,false,"Razer Sphex V2 - Mini - Ultra-Thin Form Factor - Durable polycarbonate finish","https://m.media-amazon.com/images/I/71m7H-gPPYL._AC_UY218_.jpg"
"RI5E1PSVVYXO3","Reviewed in the United States on September 2, 2021",5,"Works","5 months review:Still lookin' good after 1-3 hrs daily usage. Overall very pleased with this purchase.",true,1,1,"10","B01N7R3OZ9","razer sphex v2 mini",false,7.99,"USD",0,0,0,8364,4.4,"https://www.amazon.com/dp/B01N7R3OZ9","36801.60",false,true,false,false,"Razer Sphex V2 - Mini - Ultra-Thin Form Factor - Durable polycarbonate finish","https://m.media-amazon.com/images/I/71m7H-gPPYL._AC_UY218_.jpg"
